Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"194","AGI Greenpac Ltd","AGI","634","-0.59%","6,69,061",""
"195","V2 Retail Limited","V2RETAIL","198.65","-0.6%","13,01,694",""
"196","Oil & Natural Gas Corporation Limited","ONGC","299.55","-0.61%","1,74,90,096",""
"197","New India Assurance Company Ltd","NIACL","160.6","-0.61%","9,72,137",""
"198","GMR Power & Urban Infra Ltd","GMRP&UI","106.55","-0.61%","11,90,105",""
"199","NTPC Green Energy Ltd","NTPCGREEN","109.85","-0.62%","80,30,168",""
"200","Ncc Limited","NCC","163.84","-0.64%","21,11,875",""
"201","Coforge (Niit Tech) Ltd","COFORGE","1,195.9","-0.67%","14,24,354",""
"202","KSB Ltd","KSB","978.6","-0.68%","6,94,012",""
"203","Granules India Limited","GRANULES","699.7","-0.69%","16,47,979",""
"204","Pennar Industries Limited","PENIND","167.64","-0.69%","5,34,559",""
"205","Pnb Housing Finance Limited","PNBHOUSING","1,045.65","-0.7%","14,24,315",""
"206","Jindal Drilling And Industries Limited","JINDRILL","539.3","-0.7%","8,20,564",""
"207","Uttam Sugar Mills Limited","UTTAMSUGAR","256.64","-0.7%","32,42,167",""
"208","Adani Enterprises Limited","ADANIENT","2,408.4","-0.72%","35,38,354",""
"209","KPI Green Energy Ltd","KPIGREEN","447.95","-0.72%","5,77,173",""
"210","Biocon Limited","BIOCON","359.65","-0.72%","19,96,623",""
"211","PIRAMALFIN","PIRAMALFIN","1,998.6","-0.73%","8,23,260",""
"212","Ircon International Ltd","IRCON","152.2","-0.73%","24,32,106",""
"213","Lenskart Solutions Ltd","LENSKART","515.95","-0.77%","14,49,817",""
"214","Nazara Technologies Ltd","NAZARA","263.56","-0.79%","14,34,216",""
"215","Brainbees Solutions Ltd","FIRSTCRY","239.21","-0.79%","9,91,001",""
"216","Mufin Green Finance Ltd","MUFIN","114.28","-0.8%","16,92,886",""
"217","Texmaco Rail & Engineering Limited","TEXRAIL","105.47","-0.8%","18,73,801",""
"218","Anant Raj Limited","ANANTRAJ","486.9","-0.81%","12,45,703",""
"219","Union Bank Of India Ltd","UNIONBANK","165.94","-0.82%","1,70,97,157",""
"220","Steel Authority Of India Limited","SAIL","184.62","-0.83%","3,04,59,594",""
"221","Kec International Limited","KEC","560.7","-0.85%","5,45,169",""
"222","Aditya Birla Capital Ltd","ABCAPITAL","345.5","-0.85%","43,48,049",""
"223","Sapphire Foods India Ltd","SAPPHIRE","205.61","-0.87%","95,37,558",""
"224","Data Patterns (India) Ltd","DATAPATTNS","4,081.7","-0.88%","10,57,980",""
"225","Zen Technologies Limited","ZENTEC","1,671.1","-0.88%","5,10,134",""
"226","Quality Power Electrical Equipments Ltd","QPOWER","1,380","-0.89%","5,94,213",""
"227","Olectra Greentech Ltd","OLECTRA","1,245.6","-0.9%","6,15,721",""
"228","Hdfc Bank Limited","HDFCBANK","771.7","-0.94%","4,79,98,755",""
"229","Railtel Corporation of India Ltd","RAILTEL","323.55","-0.95%","7,74,156",""
"230","Avantel Ltd","AVANTEL","148.74","-0.95%","10,38,627",""
"231","Bajaj Finserv Limited","BAJAJFINSV","1,747.2","-0.96%","25,74,629",""
"232","Pidilite Industries Limited","PIDILITIND","1,375.7","-0.96%","13,33,712",""
"233","Poonawalla Fincorp Ltd","POONAWALLA","417.2","-0.96%","9,49,983",""
"234","Chennai Petroleum Corporation Limited","CHENNPETRO","1,128.35","-0.98%","42,37,666",""
"235","Shringar House of Mangalsutra Ltd","SHRINGARMS","201.94","-1%","5,56,934",""
"236","Sky Gold Ltd","SKYGOLD","453.9","-1.01%","9,82,206",""
"237","Welspun Living Ltd","WELSPUNLIV","128.96","-1.02%","6,73,673",""
"238","Refex Industries Limited","REFEX","263.86","-1.06%","6,56,695",""
"239","Godfrey Phillips India Limited","GODFRYPHLP","2,251","-1.07%","10,94,541",""
"240","PB Fintech Ltd","POLICYBZR","1,666.2","-1.07%","7,29,684",""
"241","One Mobikwik Systems Ltd","MOBIKWIK","215.3","-1.07%","20,24,143",""
"242","Le Travenues Technology Ltd","IXIGO","168.08","-1.09%","6,54,673",""
"243","Eicher Motors Limited","EICHERMOT","7,109","-1.12%","5,38,501",""
"244","SBI Cards & Payment Services Ltd","SBICARD","643.9","-1.12%","19,77,335",""
"245","Shyam Metalics & Energy Ltd","SHYAMMETL","873.75","-1.13%","6,04,350",""
"246","Bharat Petroleum Corporation Limited","BPCL","300.45","-1.14%","1,30,25,294",""
"247","Interglobe Aviation Limited","INDIGO","4,295.3","-1.15%","20,10,221",""
"248","Sterlite Technologies Limited","STLTECH","294.8","-1.15%","1,32,45,564",""
"249","360 ONE WAM Ltd","360ONE","1,034.65","-1.16%","10,26,753",""
"250","Jbm Auto Limited","JBMA","630.15","-1.18%","5,15,889",""
"251","Shipping Corporation Of India Limited","SCI","304.48","-1.18%","79,30,479",""
"252","Moschip Technologies Ltd","MOSCHIP","201.44","-1.19%","14,30,092",""
"253","Zaggle Prepaid Ocean Services Ltd","ZAGGLE","240.76","-1.2%","7,07,561",""
"254","Inox Wind Limited","INOXWIND","100.95","-1.21%","3,25,61,746",""
"255","Puravankara Projects Limited","PURVA","214.37","-1.22%","5,95,822",""
"256","Dlf Limited","DLF","587","-1.25%","35,76,402",""
"257","Fujiyama Power Systems Ltd","UTLSOLAR","296.41","-1.25%","5,40,043",""
"258","HDFC Life Insurance Company Ltd","HDFCLIFE","586.9","-1.26%","62,34,625",""
"259","Iti Limited","ITI","298.88","-1.28%","5,55,272",""
"260","Jupiter Wagons Ltd","JWL","283.73","-1.28%","14,07,010",""
"261","Fortis Healthcare Limited","FORTIS","922.95","-1.31%","10,57,073",""
"262","Mazagon Dock Shipbuilders Ltd","MAZDOCK","2,733.2","-1.32%","19,15,445",""
"263","Crompton Greaves Consumer Electricals Limited","CROMPTON","272.36","-1.32%","69,12,508",""
"264","Lic Housing Finance Limited","LICHSGFIN","554.7","-1.33%","7,16,565",""
"265","Greaves Cotton Limited","GREAVESCOT","165.18","-1.34%","6,92,185",""
"266","Max Healthcare Institute Ltd","MAXHEALTH","993.05","-1.35%","23,65,736",""
"267","DEE Development Engineers Ltd","DEEDEV","417","-1.35%","7,97,809",""
"268","Walchandnagar Industries Limited","WALCHANNAG","235.02","-1.35%","10,06,844",""
"269","Rbl Bank Limited","RBLBANK","336.55","-1.36%","67,23,354",""
"270","Karur Vysya Bank Limited","KARURVYSYA","293.5","-1.36%","23,30,041",""
"271","Bharat Forge Limited","BHARATFORG","1,881.6","-1.37%","20,76,179",""
"272","The Indian Hotels Company Limited","INDHOTEL","635.85","-1.37%","14,66,637",""
"273","Jubilant Foodworks Limited","JUBLFOOD","478.6","-1.4%","11,09,585",""
"274","The Phoenix Mills Limited","PHOENIXLTD","1,765","-1.41%","5,63,716",""
"275","Zensar Technologies Limited","ZENSARTECH","513.85","-1.41%","5,06,100",""
"276","Adani Green Energy Ltd","ADANIGREEN","1,227.15","-1.42%","30,19,213",""
"277","Star Health & Allied Insurance Company Ltd","STARHEALTH","525.65","-1.43%","7,37,788",""
"278","Bharat Electronics Limited","BEL","431.3","-1.43%","1,57,95,581",""
"279","Godrej Properties Limited","GODREJPROP","1,835.2","-1.46%","11,61,254",""
"280","Patanjali Foods Ltd","PATANJALI","459.45","-1.47%","18,11,550",""
"281","Gail (india) Limited","GAIL","163.23","-1.47%","75,18,096",""
"282","CG Power and Industrial Solutions Ltd","CGPOWER","813.35","-1.48%","32,48,937",""
"283","Bharat 22 ETF","ICICIB22","124.46","-1.48%","6,31,436",""
